Hard,A,2,3,4,5,6,7,8,9,10
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,H,S,S,S,S,S,H,H,H,H
15,H,S,S,S,S,S,H,H,H,H
14,H,S,S,S,S,S,H,H,H,H
13,H,S,S,S,S,S,H,H,H,H
12,H,H,H,S,S,S,H,H,H,H
11,H,D,D,D,D,D,D,D,D,D
10,H,D,D,D,D,D,D,D,D,H
9,H,H,D,D,D,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
Soft,A,2,3,4,5,6,7,8,9,10
10,S,S,S,S,S,S,S,S,S,S
9,S,S,S,S,S,S,S,S,S,S
8,S,S,S,S,S,S,S,S,S,S
7,H,S,D,D,D,D,S,S,H,H
6,H,H,D,D,D,D,H,H,H,H
5,H,H,H,D,D,D,H,H,H,H
4,H,H,H,D,D,D,H,H,H,H
3,H,H,H,H,D,D,H,H,H,H
2,H,H,H,H,D,D,H,H,H,H
Pairs,A,2,3,4,5,6,7,8,9,10
10 10,S,S,S,S,S,S,S,S,S,S
9 9,P,P,P,P,P,P,P,P,P,P
8 8,P,P,P,P,P,P,P,P,P,P
7 7,H,P,P,P,P,P,P,H,H,H
6 6,H,P,P,P,P,P,P,H,H,H
5 5,H,D,D,D,D,D,D,D,D,H
4 4,H,H,H,H,P,P,H,H,H,H
3 3,H,P,P,P,P,P,P,H,H,H
2 2,H,P,P,P,P,P,P,H,H,H
1 1,P,P,P,P,P,P,P,P,P,P
